source,source_url,job_id,job_title,company_name,location,department,office,posting_date,full_text
picsart,https://picsart.com/careers/job/5734906004?gh_jid=5734906004,5734906004,Social Media Content Creator (Contractor),Picsart,"Yerevan, Armenia",Marketing,"Picsart Armenia, Picsart Germany, Picsart Romania, Picsart Spain, Picsart UK",2026-01-23,"<div class=""p-rich_text_section"">
<p data-start=""451"" data-end=""843"">We’re looking for a <strong data-start=""553"" data-end=""601"">highly creative Social Media Content Creator (Contractor)</strong> to bring Picsart’s social presence to life across <strong data-start=""652"" data-end=""676"">TikTok and Instagram</strong>. In this role, you’ll support daily content production, develop platform-native creative ideas, and help define how Picsart connects with its global online community.</p>
<p data-start=""845"" data-end=""945"">This is a <strong>Full-time C</strong><strong data-start=""855"" data-end=""874"">ontractor Role</strong>, offering a <strong data-start=""887"" data-end=""906"">1-year contract.</strong>&nbsp;</p>
<h2><strong><span style=""color: #d600c9;"">How You'll Make an Impact</span></strong></h2>
<ul>
<li data-start=""984"" data-end=""1107"">Produce visually compelling, platform-native content for TikTok and Instagram, supporting day-to-day social content needs</li>
<li data-start=""984"" data-end=""1107"">Create engaging, scroll-stopping short-form videos with a strong understanding of what drives virality: making going viral the goal while staying true to the Picsart brand</li>
<li data-start=""1285"" data-end=""1417"">Bring fresh creative concepts, cultural insights, and trend awareness to support social partnerships and influencer collaborations</li>
<li data-start=""1420"" data-end=""1568"">Identify emerging trends across social media, AI, tech, pop culture, and Gen Z communities, and translate them into creative content opportunities</li>
<li data-start=""1571"" data-end=""1711"">Contribute to growing and engaging Picsart’s online community through storytelling, experimentation, and authentic platform-native content</li>
<li data-start=""1809"" data-end=""1893"">Appear on camera when needed, delivering authentic, relatable, and engaging energy</li>
<li data-start=""2035"" data-end=""2117"">Bring positivity, curiosity, speed, and creative energy into daily collaboration</li>
</ul>
<h2><strong><span style=""color: #d600c9;"">What You'll Bring</span></strong></h2>
<ul>
<li data-start=""2162"" data-end=""2221"">Strong editing skills for short-form social video content</li>
<li data-start=""2224"" data-end=""2269"">Fluency in <strong data-start=""2235"" data-end=""2246"">English</strong> (written and spoken)</li>
<li data-start=""2272"" data-end=""2334"">High responsiveness to trends and fast-moving social moments</li>
<li data-start=""2337"" data-end=""2405"">Deep passion for social media, pop culture, and digital creativity</li>
<li data-start=""2408"" data-end=""2487"">Strong creative mindset with the ability to generate original, engaging ideas</li>
<li data-start=""2490"" data-end=""2559"">Ability to work quickly and efficiently in a fast-paced environment</li>
<li data-start=""2562"" data-end=""2615"">Comfort and confidence being in front of the camera</li>
</ul>
<h2><strong><span style=""color: #d600c9;"">Nice To Have</span></strong></h2>
<ul>
<li data-start=""2455"" data-end=""2538"">Experience with AI prompting and AI-based image and/or video generation tools</li>
<li>Advanced experience with Content editing tools</li>
<li>Familiarity with influencer content and performance-driven social formats</li>
<li>Experience working with brands in tech, creative, or consumer apps&nbsp;</li>
</ul>
<p><span style=""color: rgb(255, 255, 255);"">#LI-MS1</span></p>
</div><div class=""content-conclusion""><h5>What we seek and value most in our candidates&nbsp;</h5>
<h5>Professionalism in both soft and hard skills; motivation to grow, learn and share, positive attitude, flexibility, transparency, ownership and the most important - passion and commitment.&nbsp;&nbsp;</h5>
<h5>Picsart is proud to be an equal opportunity employer. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. We are committed to providing reasonable accommodation to employees who have protected disabilities consistent with local law.&nbsp;</h5>
<h5><em>Picsart, Inc. is an E-Verify Employer in the US. Please click here for the E-Verify Poster in </em><a class=""postings-link"" href=""https://e-verify.uscis.gov/web/media/resourcesContents/E-Verify_Participation_Poster.pdf""><em>English</em></a><em> or </em><a class=""postings-link"" href=""https://e-verify.uscis.gov/web/media/resourcesContents/E-Verify_Participation_Poster_ES.pdf""><em>Spanish</em></a><em>. For information regarding your Right To Work, please click here for </em><a class=""postings-link"" href=""https://www.uscis.gov/sites/default/files/USCIS/Verification/E-Verify/E-Verify_Native_Documents/OSC_Right_to_Work_Poster.pdf""><em>English</em></a><em> or </em><a class=""postings-link"" href=""https://www.uscis.gov/sites/default/files/USCIS/Verification/E-Verify/E-Verify_Native_Documents/OSC_Right_to_Work_Poster_ES.pdf""><em>Spanish</em></a><em>.</em></h5>
<p><span style=""color: rgb(0, 0, 0);""><strong><a style=""color: rgb(0, 0, 0);"" href=""https://acrobat.adobe.com/link/track?uri=urn:aaid:scds:US:8b497391-45b1-3bf6-a10a-2a7b350f1f87"" target=""_blank""><em>For Applicants Based in California - California Job Applicant Privacy Notice</em></a></strong> </span>(<a href=""https://rb.gy/lqu5mv"">https://rb.gy/lqu5mv)</a></p>
<h5>ABOUT US&nbsp;</h5>
<h5><em data-stringify-type=""italic"">Picsart is the world’s largest digital creation platform and a&nbsp;</em><em data-stringify-type=""italic""><a class=""c-link"" href=""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fsensortower.com%2Fblog%2Fq4-2021-data-digest&amp;esheet=52597622&amp;newsitemid=20220316005047&amp;lan=en-US&amp;anchor=top+20+most+downloaded+app&amp;index=5&amp;md5=f290a807fb9d3bb84068b59cc3a0cc12"" target=""_blank"" data-stringify-link=""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fsensortower.com%2Fblog%2Fq4-2021-data-digest&amp;esheet=52597622&amp;newsitemid=20220316005047&amp;lan=en-US&amp;anchor=top+20+most+downloaded+app&amp;index=5&amp;md5=f290a807fb9d3bb84068b59cc3a0cc12"" data-sk=""tooltip_parent"" data-remove-tab-index=""true"">top 20 most downloaded app</a></em><em data-stringify-type=""italic"">. Every month, the Picsart community creates, remixes, and shares billions of visual stories using the company’s powerful and easy-to-use editing tools. Picsart has amassed one of the largest open-source content collections in the world, including free-to-edit photos, stickers, backgrounds, templates, and more. Picsart is available in 30 languages for free and as a subscription on iOS, Android, Windows devices and on the Web. Headquartered in Miami, with offices around the world, Picsart is backed by SoftBank, Sequoia Capital, DCM Ventures, Insight Partners, and others.&nbsp;</em><em data-stringify-type=""italic""><a class=""c-link"" href=""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fpicsart.com%2Fapps%2Fpicsart-photo-studio&amp;esheet=52597622&amp;newsitemid=20220316005047&amp;lan=en-US&amp;anchor=Download&amp;index=6&amp;md5=ac3b037568f6ec94eda7051f2fce62da"" target=""_blank"" data-stringify-link=""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fpicsart.com%2Fapps%2Fpicsart-photo-studio&amp;esheet=52597622&amp;newsitemid=20220316005047&amp;lan=en-US&amp;anchor=Download&amp;index=6&amp;md5=ac3b037568f6ec94eda7051f2fce62da"" data-sk=""tooltip_parent"" data-remove-tab-index=""true"">Download</a></em><em data-stringify-type=""italic"">&nbsp;the app or visit&nbsp;</em><em data-stringify-type=""italic""><a class=""c-link"" href=""http://picsart.com/"" target=""_blank"" data-stringify-link=""http://picsart.com"" data-sk=""tooltip_parent"" data-remove-tab-index=""true"">picsart.com</a></em><em data-stringify-type=""italic"">&nbsp;for more information.</em></h5></div>"
picsart,https://picsart.com/careers/job/5684081004?gh_jid=5684081004,5684081004,User Acquisition Specialist (Service  Contract),Picsart,"Yerevan, Armenia",Marketing,"Picsart Armenia, Picsart Germany, Picsart Spain, Picsart UK",2025-10-21,"<p>Picsart is on a mission to empower the creator in everyone. We're seeking a&nbsp;<strong>User Acquisition Specialist</strong> with exceptional data analytical skills to drive our paid acquisition and targeting efforts. You'll be instrumental in testing, experimenting, analyzing, and optimizing our campaigns to accelerate growth.</p>
<h2><strong><span style=""color: #d600c9;"">How You'll Make an Impact</span></strong></h2>
<ul>
<li><strong>Strategize &amp; Execute:</strong> Launch, manage, and optimize user acquisition (UA) and retargeting campaigns across a diverse range of paid channels, including Meta (Facebook, Instagram), TikTok, Snapchat, Google Ads, and Apple Search Ads, and more.</li>
<li><strong>Analyze &amp; Optimize:</strong> Conduct in-depth analysis of campaign performance, identifying trends and providing actionable recommendations to enhance ROI, subscriber rates, and overall growth.</li>
<li><strong>Experiment &amp; Learn:</strong> Design and implement rigorous testing strategies to uncover insights around creative performance, targeting effectiveness, tactical approaches, and channel efficiency.</li>
<li><strong>Budget Management:</strong> Collaborate with the Head of Acquisition to manage&nbsp; budget allocations and pacing to maximize impact.</li>
<li><strong>Creative Collaboration:</strong> Partner with social, content, and creative teams to develop new concepts and iterate on winning creatives. Manage the creative pipeline and maintain a comprehensive UA creative repository.</li>
</ul>
<h2><strong><span style=""color: #d600c9;"">What You'll Bring</span></strong></h2>
<ul>
<li>&nbsp;5+ years of experience in performance marketing, ideally in a mobile-first or subscription-based business.</li>
<li>Proven track record of scaling paid campaigns with &gt;$1M monthly budget responsibility.</li>
<li>Deep knowledge of key UA metrics (e.g., CTR, CR, CPI, ROAS, LTV) and familiarity with various attribution models and tracking methodologies (AppsFlyer experience is a plus).</li>
<li>In-depth knowledge of Google Ads, Apple Search Ads, TikTok and Facebook Ads, coupled with hands-on experience in media buying across various UA channels.</li>
<li>A highly motivated self-starter with strong project management, prioritization, and hands-on execution skills.</li>
<li>Exceptional attention to detail, superior problem-solving abilities, and an inherently analytical mindset.</li>
<li>Outstanding written and verbal communication skills, enabling effective collaboration across teams.</li>
</ul>
<h2><strong><span style=""color: #d600c9;"">Good To Have&nbsp;</span></strong></h2>
<ul>
<li>A strong background in&nbsp;<strong>data analytics</strong> and/or <strong>engineering</strong> is highly preferred, with demonstrated experience in quantitative analysis and experimental design.</li>
</ul>
<p><span style=""color: rgb(255, 255, 255);"">#LI-NA1</span></p>
<p>&nbsp;</p><div class=""content-conclusion""><h5>What we seek and value most in our candidates&nbsp;</h5>
<h5>Professionalism in both soft and hard skills; motivation to grow, learn and share, positive attitude, flexibility, transparency, ownership and the most important - passion and commitment.&nbsp;&nbsp;</h5>
<h5>Picsart is proud to be an equal opportunity employer. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. We are committed to providing reasonable accommodation to employees who have protected disabilities consistent with local law.&nbsp;</h5>
<h5><em>Picsart, Inc. is an E-Verify Employer in the US. Please click here for the E-Verify Poster in </em><a class=""postings-link"" href=""https://e-verify.uscis.gov/web/media/resourcesContents/E-Verify_Participation_Poster.pdf""><em>English</em></a><em> or </em><a class=""postings-link"" href=""https://e-verify.uscis.gov/web/media/resourcesContents/E-Verify_Participation_Poster_ES.pdf""><em>Spanish</em></a><em>. For information regarding your Right To Work, please click here for </em><a class=""postings-link"" href=""https://www.uscis.gov/sites/default/files/USCIS/Verification/E-Verify/E-Verify_Native_Documents/OSC_Right_to_Work_Poster.pdf""><em>English</em></a><em> or </em><a class=""postings-link"" href=""https://www.uscis.gov/sites/default/files/USCIS/Verification/E-Verify/E-Verify_Native_Documents/OSC_Right_to_Work_Poster_ES.pdf""><em>Spanish</em></a><em>.</em></h5>
<p><span style=""color: rgb(0, 0, 0);""><strong><a style=""color: rgb(0, 0, 0);"" href=""https://acrobat.adobe.com/link/track?uri=urn:aaid:scds:US:8b497391-45b1-3bf6-a10a-2a7b350f1f87"" target=""_blank""><em>For Applicants Based in California - California Job Applicant Privacy Notice</em></a></strong> </span>(<a href=""https://rb.gy/lqu5mv"">https://rb.gy/lqu5mv)</a></p>
<h5>ABOUT US&nbsp;</h5>
<h5><em data-stringify-type=""italic"">Picsart is the world’s largest digital creation platform and a&nbsp;</em><em data-stringify-type=""italic""><a class=""c-link"" href=""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fsensortower.com%2Fblog%2Fq4-2021-data-digest&amp;esheet=52597622&amp;newsitemid=20220316005047&amp;lan=en-US&amp;anchor=top+20+most+downloaded+app&amp;index=5&amp;md5=f290a807fb9d3bb84068b59cc3a0cc12"" target=""_blank"" data-stringify-link=""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fsensortower.com%2Fblog%2Fq4-2021-data-digest&amp;esheet=52597622&amp;newsitemid=20220316005047&amp;lan=en-US&amp;anchor=top+20+most+downloaded+app&amp;index=5&amp;md5=f290a807fb9d3bb84068b59cc3a0cc12"" data-sk=""tooltip_parent"" data-remove-tab-index=""true"">top 20 most downloaded app</a></em><em data-stringify-type=""italic"">. Every month, the Picsart community creates, remixes, and shares billions of visual stories using the company’s powerful and easy-to-use editing tools. Picsart has amassed one of the largest open-source content collections in the world, including free-to-edit photos, stickers, backgrounds, templates, and more. Picsart is available in 30 languages for free and as a subscription on iOS, Android, Windows devices and on the Web. Headquartered in Miami, with offices around the world, Picsart is backed by SoftBank, Sequoia Capital, DCM Ventures, Insight Partners, and others.&nbsp;</em><em data-stringify-type=""italic""><a class=""c-link"" href=""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fpicsart.com%2Fapps%2Fpicsart-photo-studio&amp;esheet=52597622&amp;newsitemid=20220316005047&amp;lan=en-US&amp;anchor=Download&amp;index=6&amp;md5=ac3b037568f6ec94eda7051f2fce62da"" target=""_blank"" data-stringify-link=""https://cts.businesswire.com/ct/CT?id=smartlink&amp;url=https%3A%2F%2Fpicsart.com%2Fapps%2Fpicsart-photo-studio&amp;esheet=52597622&amp;newsitemid=20220316005047&amp;lan=en-US&amp;anchor=Download&amp;index=6&amp;md5=ac3b037568f6ec94eda7051f2fce62da"" data-sk=""tooltip_parent"" data-remove-tab-index=""true"">Download</a></em><em data-stringify-type=""italic"">&nbsp;the app or visit&nbsp;</em><em data-stringify-type=""italic""><a class=""c-link"" href=""http://picsart.com/"" target=""_blank"" data-stringify-link=""http://picsart.com"" data-sk=""tooltip_parent"" data-remove-tab-index=""true"">picsart.com</a></em><em data-stringify-type=""italic"">&nbsp;for more information.</em></h5></div>"
