university,program_name,program_code,degree_level,course_name,course_name_original,course_code,credits,component,semester,description,prerequisites,assessment,academic_year,source_url,language
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Ռուսաց լեզու-2,,1705,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Հայոց պատմություն 2,,1106,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Հայոց պատմություն 1,,1106,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Քաղաքացիական պաշտպանություն և արտակարգ իրավիճակներում բնակչության առաջին բուժօգնություն,,0002,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Քաղաքացիական պաշտպանություն և արտակարգ իրավիճակներում բնակչության առաջին բուժօգնություն,,0002,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Ֆրանսերեն-2,,1608,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Չինարեն-2,,1205,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Հայոց լեզու և խոսքի մշակույթ-1,,1401,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Գերմաներեն-2,,1604,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Անգլերեն-2,,1602,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
