method,university,program_name,degree_level,role_groups,gap_concept
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/719d8699-a221-4b5a-8fc3-68a8645cbe03
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/11c56452-fcec-4b00-9695-cca4728e5048
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/80c042de-bc1a-4d78-b266-35bc80ba3093
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/055192dc-f16c-4855-835d-19cac6ff20aa
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/99c4c69a-025c-464f-adda-874c7f107a31
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/cccf238f-0e7f-41d9-9389-96e793714cd4
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/45f1ae17-c20d-40fc-9307-7d33b6ca9213
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/44985078-6f4c-42b2-bceb-a37ea224b21d
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/4339176e-3acd-4f7f-a5d9-445bee3d23f2
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/88b406d0-72e2-4087-be19-d5992d259473
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/fabc4abb-d255-403e-bfbb-6557afb4db58
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/bc9f3c50-ff9f-42b5-a2e9-c388779c707b
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/294cf13e-4fdf-4cb8-bb6b-31b9da7f4819
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/c1d7a6df-92e8-4b2f-9259-e04dd7242be3
