university,programs,avg_coverage,total_concepts,total_overlap
American University of Armenia,7,5.77,381,213
Yerevan State University,14,4.46,668,329
Russian-Armenian University,1,2.28,17,12
National University of Architecture and Construction of Armenia,5,1.6,64,42
