original,canonical,original_freq,canonical_freq
It Project Management,IT Project Management,1,31
Java Programming,Java,1,131
Java Programming In,Java,1,131
Linux And,Linux,1,105
Management And,Management,6,26
Management Informatics,Informatics Management Systems,1,2
Management Information Systems,Management Information Systems (MIS),1,4
Management Innovation Management,Innovation Management,1,10
Management So That,Management So,2,2
Management Startup,Startup Management,1,4
Management Startup Management,Startup Management,1,4
Management Systems,Systems Management,3,10
Mathematical Analysis In,Mathematical Analysis,1,78
Mathematical Analysis Mathematical,Mathematical Analysis,1,78
Mathematical Logic And,Mathematical Logic,1,26
Mathematical Logic In,Mathematical Logic,1,26
Mathematics Graph Theory,Graph Theory,1,139
Methodology,Research Methodology,1,32
Methods In,Methods,1,15
Mobile Applications Mobile,Mobile Applications,1,24
Mobile Development And,Mobile Development,1,40
Mobile Technologies In,Mobile Technologies,1,2
Model Evaluation And,Model Evaluation,1,30
Modeling Computer,Computer Modeling,1,13
Monetary Statistics In,Monetary Statistics,1,5
Multivariate Statistical,Multivariate Statistics,2,14
Multivariate Statistical Analysis,Multivariate Statistics,5,14
Network Administration And,Network Administration,1,26
Network Technologies And,Network Technologies,1,16
Networks Computer,Computer Networking,1,144
Networks In,Networks,2,26
Numerical Methods In,Numerical Methods,1,180
Numerical Methods Optimization,Numerical Optimization,1,16
Object Oriented Programming,Object-Oriented Programming,25,224
Object-Oriented Programming (OOP),Object-Oriented Programming,7,224
Of Business Risks,Business Risks,1,1
Of Business Strategy,Business Strategy,1,10
Of Cyber Security,Cyber Security In,1,1
Of Programming,Programming,1,215
Of Programming Python,Programming Technologies Python,1,2
Operating Systems In,Operating Systems,2,110
Operating Systems Process,Operating Systems,2,110
Oriented Programming In,Oriented Programming And,1,1
Physics Scientific Computing,Computational Physics,1,14
Probability Theory In,Probability Theory,1,124
Probability Theory Statistical,Probability Theory & Mathematical Statistics,1,1
Programming Fundamentals In,Programming Fundamentals,1,24
Programming Fundamentals Python,Programming Technologies Python,1,2
Programming In,Programming,3,215
Programming In The,Programming,1,215
Programming Informatics Visualization,Informatics Visualization,1,2
Programming Python In,Python,1,574
Programming Python Software,Python,2,574
Programming Technologies,Programming Technology,3,12
Programming Technologies In,Programming Technology,1,12
Project Management And,Project Management,2,113
Project Management In,Project Management,1,113
Public Policy,Of Public Policy,1,1
Public Policy And,Of Public Policy,1,1
Public Policy In,Of Public Policy,1,1
Python Development,Python Software Development,1,3
Python Scikit,Scikit-learn,1,32
Python Software,Python,1,574
Qualitative Methods,Qualitative Analysis,1,16
Qualitative Methods In,Qualitative Analysis,1,16
Reasoning Informatics,Formal Reasoning Informatics,2,2
Reasoning Informatics Mathematical,Formal Reasoning Informatics,2,2
Relational Databases SQL,Relational Databases,1,46
Research Methods,Research Methodology,6,32
Risk Analysis Statistical,Risk Analysis,1,19
Science Cybersecurity Informatics,Cybersecurity Informatics,1,1
Science Informatics,Informatics,11,149
Science Informatics Instructional,Informatics Instructional,1,1
Science Informatics Mathematical,Mathematics and Informatics,6,17
Science Informatics Numerical,Informatics Numerical,1,1
Science Informatics Probability,Informatics Probability,1,1
Scikit Learn,Scikit-learn,3,32
Security Information Systems,Information Security,1,59
Security Risk Management,Security Management,2,8
Software Development So,Software Development,8,175
Software Engineering (Python),Python Software Development,2,3
Software Testing In,Software Testing,1,133
Software Testing Test,Software Testing,1,133
Spatial Analysis And,Spatial Analysis,1,43
Spatial Analysis Using,Spatial Analysis,1,43
Startup Management And,Startup Management,1,4
Startup Management Technology,Startup Management,1,4
Statistical Analysis And,Statistical Analysis,1,126
Statistical Analysis Of,Statistical Analysis,1,126
Statistical Analysis Statistical,Statistical Analysis,6,126
Statistics And,Statistics,1,141
Statistics And Data,Statistics,4,141
Statistics Business,Statistics In Business,1,5
Statistics Business Analytics,Business Analytics and Data,1,17
Statistics For Business,Statistics In Business,1,5
Statistics In,Statistics,1,141
Statistics Monetary,Monetary Statistics,1,5
Statistics Monetary Statistics,Monetary Statistics,1,5
Strategy Digital Business,Digital Strategy,1,2
Systems And,Systems,1,27
Systems And These,Systems,2,27
Systems Cloud Computing,Cloud Computing,1,83
Systems Computer Architecture,Computer Architecture,1,94
Systems Cybersecurity,Cybersecurity,2,57
Systems Cybersecurity Digital,Cybersecurity Digital,1,1
Systems Cybersecurity Information,Cybersecurity Information,1,2
Systems Data Analysis,Systems Analysis,1,40
Systems Digital,Digital Systems,3,9
