source,source_type,source_url,job_title,company_name,location,department,employment_type,seniority_level,industries,posting_date,skills_tags,full_text
10web,company_portal,https://10WEB.bamboohr.com/careers/52,Senior Product Designer (UI/UX),10Web,"Yerevan, Armenia",Product,Full-Time,,Technology / AI Website Builder,,,"At 10Web, we value simplicity, minimalism, and thoughtful design. For us, simplicity goes beyond visual style - it’s about transforming complexity into clarity by focusing on what truly matters. We’re looking for a
Senior Product Designer (UI/UX)
who can lead design initiatives, think strategically, and translate complex product requirements into elegant, scalable solutions.
Important Note Before Applying
Please apply only if you meet the following requirements:
You have 3+ years of recent, hands-on experience in product design
You can share a portfolio with a minimum of
3 real product design projects
(Figma, Behance, Dribbble), preferably including complex or SaaS products
If possible, please also attach the working/source files
Applications that do not meet these criteria will not be considered.
Responsibilities:
Lead the design of simple, user-friendly, and effective products aligned with business goals and long-term product vision
Own and evolve design systems to ensure consistency, scalability, and quality across products
Deliver high-quality designs with exceptional attention to detail and usability
Balance user needs, product requirements, technical constraints, and brand strategy to create intuitive experiences
Drive and contribute to user research, usability testing, and feedback analysis in collaboration with product managers
Translate user insights and product data into strategic, impactful design decisions
Define interaction models, user flows, and success metrics for features and products
Create and review wireframes, workflows, and high-fidelity interactive prototypes
Solve complex UX problems with elegant, scalable, and user-centered solutions
Collaborate closely with engineering to ensure high-quality implementation of designs
Stay up to date with competitors, industry trends, and emerging design methodologies
Take ownership of design initiatives and drive them from concept to delivery
Required Skills & Experience
5+ years of up-to-date experience in UI/UX and product design
Strong experience designing complex digital products (SaaS, platforms, or large-scale web applications preferred)
Expert-level proficiency in
Figma
(Sketch experience is a plus)
Strong working knowledge of
Photoshop and Illustrator
Excellent analytical, problem-solving, and critical-thinking skills
Solid understanding of
HTML and CSS fundamentals
to collaborate effectively with developers
Proven ability to translate research, data, and business requirements into actionable design solutions
Fluent in English, both written and verbal
Portfolio Requirement
Please include links to your portfolio (Figma, Behance, Dribbble) showcasing
at least 3 product design case studies
(If possible, please also attach the working/source files.)
Portfolios without in-depth, product-focused case studies will not be reviewed."
10web,company_portal,https://10WEB.bamboohr.com/careers/57,Product Manager,10Web,"Yerevan, Armenia",Product,Full-Time,,Technology / AI Website Builder,,,"We are seeking a seasoned, AI-savvy Product Manager with a strong growth mindset to join our team. In this role, you’ll lead the development of AI-powered products and features that drive impact across the entire user journey - from acquisition to engagement and retention. We’re looking for someone who combines deep product sense, technical fluency, and a strong understanding of AI capabilities to help shape the next generation of intelligent user experiences.
Responsibilities:
Lead End-to-End Product Development: Shape the full lifecycle of product features - from discovery and planning to launch and iteration.
Optimize User Journeys: Continuously assess and enhance user flows to support growth, activation, retention, and overall satisfaction.
Identify and Propose Enhancements: Use product data, user feedback, and market research to suggest impactful improvements and new features.
Prioritize Initiatives Strategically: Collaborate with design, engineering, and marketing teams to prioritize work and define timelines that align with business goals.
Monitor Market Trends: Stay on top of competitor strategies and industry developments to inform product positioning and innovation.
Leverage Data to Drive Decisions: Apply analytics and experimentation to validate ideas and ensure product decisions are insight-driven.
AI Product Thinking: Understand the capabilities and limitations of AI, and apply AI-first thinking to enhance product functionality, automate workflows, and create smarter user experiences.
Cross-Functional Collaboration: Work closely with engineering, design, support, and marketing to align on product vision and deliver high-quality outcomes.
Drive customer discovery: Conduct interviews, gather feedback, and synthesize insights to deeply understand user needs and pain points.
Rapid prototyping with LLMs: Utilize modern large language models and AI tools to build fast, low-fidelity prototypes for early testing and iterative product validation.
Required Skills and Experience:
Bachelor’s Degree in Computer Science, Business, or a related field.
3+ Years of Product Management Experience
, with a track record of shipping and evolving digital products.
Full Lifecycle Ownership: Proven ability to manage products from concept through execution, launch, and optimization.
Technical Fluency: Solid understanding of web technologies, including their potential and constraints.
Strong Communicator: Excellent verbal and written communication skills, with the ability to bridge technical and non-technical teams effectively.
Experience with AI-Driven Products: Familiarity with AI/ML product development cycles, prompt design, or collaborating with data science teams is a strong plus.
Language proficiency: High-level english fluency (written and spoken) is required
If you’re passionate about building products that make a difference - and excited about leveraging AI to elevate product experiences - we’d love to hear from you. Join us and help shape the future of our platform across every stage of the user journey."
10web,company_portal,https://10WEB.bamboohr.com/careers/59,Senior Software Engineer,10Web,"Yerevan, Armenia",Engineering,Full-Time,,Technology / AI Website Builder,,,"We’re looking for a Senior Software Engineer who loves working with Python & Node.js stacks. If you thrive on building high-performance services, enjoy solving complex problems with AI/ML-powered products, and want to help us automate web development at scale, you’ll fit right in.
Core responsibilities:
Design & build
scalable, fault-tolerant backend services in Python/ Node.js
Architect, debug, and optimize
micro services that power our AI-driven website generation, content creation, and optimization engines
Write clean, testable code
that follows SOLID principles and established design patterns
Own quality
-
add unit/-integration tests, set up CI pipelines, review peer code, and improve performance and security
Maintain & enhance
existing systems, refactor legacy components, and migrate services when needed
Collaborate
closely
with frontend, DevOps, and product teams to ship new features quickly and reliably
Required qualifications:
Bachelor’s degree in Computer Science or a related field (Master’s a plus)
5+ years
of professional backend development
, with at least
3 years in Node.js
Strong grasp of asynchronous programming, event-driven architecture, and REST API/GRPC design
Production experience with
SQL
databases (MySQL or PostgreSQL) and query optimization
Experience with LLMs
, including
LangGraph
and
LangChain
for building AI-driven workflows
Solid understanding of design patterns, SOLID principles, and clean architecture
Proficiency with
Git
and collaborative workflows (PRs, code reviews)
Comfortable working in Linux/ Bash environments
Preferred qualifications:
Familiarity with
WordPress development
and
React
Experience with NoSQL or document databases (e.g., MongoDB)
Knowledge of containerisation (Docker), orchestration (Kubernetes), and CI/CD pipelines
Advanced written and spoken
English"
10web,company_portal,https://10WEB.bamboohr.com/careers/67,Senior Customer Care Specialist (Day Shift),10Web,"Yerevan, Armenia",Customer Care,Full-Time,,Technology / AI Website Builder,,,"At 10Web, our Customer Care team plays a pivotal role in delivering
exceptional service and ensuring long-term customer success
. We believe that the Customer is the purpose of our work and the most important part of our business. As a Senior Customer Care Specialist, you are a
trusted partner for our customers
- someone who consistently has their back, helps them get the most out of 10Web products, and ensures every issue is resolved with
care and ownership
.
What We’re Looking For:
Care:
A genuine readiness to go the extra mile for customers, treating their challenges as your own and ensuring issues are fully and positively resolved.
Dedication:
At 10Web Care, we believe success is built on hard work, perseverance, continuous learning, and passion for what you do.
What You Will Do:
Manage large volumes of incoming customer care requests across multiple channels
Build sustainable relationships and trust with customers through open, clear, and interactive communication
Interact with customers to provide accurate information regarding products, services, and technical issues
Analyze customer inquiries to identify root causes and provide effective solutions and alternatives within defined SLAs
Handle customer complaints with professionalism and empathy
Follow up with customers to ensure complete resolution and satisfaction
Adhere to standard operating procedures and internal processes
Identify, prioritize, and escalate complex issues when necessary
Stay up to date with product updates, new features, and service changes
Take initiative to proactively engage customers and improve their experience
Act as a role model by sharing best practices and supporting team knowledge growth
Required Qualifications:
Excellent written English skills
Strong technical aptitude with advanced problem-solving skills
Minimum 3 years of customer care experience, with proven experience in the IT industry
Strong customer service mindset and exceptional communication skills
Ability to work independently and collaboratively in a team environment
High attention to detail with strong multitasking and time-management abilities
Customer-focused approach with adaptability to different customer personalities
Demonstrated proficiency in typing accuracy and grammar
Strong sense of ownership and willingness to contribute to team success
Preferred Qualifications:
Bachelor’s degree in a related field
Hands-on experience with CMS platforms (e.g., WordPress)
Experience mentoring or supporting junior team members
What We Offer:
Competitive salary + performance bonuses
Health insurance
Learning & development budget
Gym package / fitness membership
Work-life balance and hybrid work flexibility
Opportunity to join a fast-growing global team
A chance to work on cutting-edge AI products used by thousands of businesses worldwide"
10web,company_portal,https://10WEB.bamboohr.com/careers/68,Mid-Level Customer Care Specialist (Day Shift),10Web,"Yerevan, Armenia",Operations,Full-Time,,Technology / AI Website Builder,,,"At 10Web, our Customer Care team is dedicated to providing outstanding service and building meaningful relationships with our customers. We see the Customer as the most important part of our business, and our Customer Care Specialists are the
trusted partners who help customers succeed with our products
.
As a Mid-Level Customer Care Specialist, you will
support customers by resolving issues
, answering questions, and ensuring a smooth and positive experience with 10Web.
What We’re Looking For:
Care:
A strong sense of responsibility for customer issues, with the willingness to go beyond basic support to ensure problems are fully resolved.
Dedication:
A proactive attitude toward learning, improving skills, and contributing to team success through consistent effort and enthusiasm.
What You Will Do:
Handle incoming customer inquiries and support requests
Communicate with customers to provide information about products, services, and technical issues
Analyze customer requests to identify issues and provide appropriate solutions
Resolve customer complaints in a timely and professional manner
Follow up to ensure customer issues are resolved and expectations are met
Adhere to internal processes, guidelines, and support workflows
Escalate complex or high-priority issues when necessary
Stay informed about product updates, changes, and new features
Actively engage with customers to improve satisfaction and retention
Required Qualifications:
Excellent written English skills
Tech-savvy with strong problem-solving abilities
At least 1 year of customer care experience, with experience in the IT industry
Strong communication and interpersonal skills
Ability to manage multiple tasks, prioritize work, and meet deadlines
Customer-oriented mindset with flexibility in handling different customer needs
Strong typing, grammar, and written communication skills
Team-oriented attitude with a willingness to learn and collaborate
Preferred Qualifications:
Bachelor’s degree in a related field
Familiarity with CMS platforms such as WordPress
Experience supporting SaaS or web-based products
What We Offer:
Competitive salary + performance bonuses
Health insurance
Learning & development budget
Gym package / fitness membership
Work-life balance and hybrid work flexibility
Opportunity to join a fast-growing global team
A chance to work on cutting-edge AI products used by thousands of businesses worldwide"
