source,source_url,job_title,company_name,location,employment_type,seniority_level,industries,posting_date,deadline,skills_tags,full_text
synopsys,https://careers.synopsys.com/job/yerevan/software-engineering-intern/44408/93005893984,Software Engineering Intern,Synopsys,"Yerevan, Armenia",Intern,Internship,Electronic Design Automation; Semiconductor,2026-03-20,2026-04-30,,"Software Engineering Intern

Yerevan, Armenia | Internship | Job ID: 93005893984

Synopsys is at the forefront of Smart Everything with the world's most advanced tools for silicon chip design, verification, IP integration, and application security testing. Our technology helps customers innovate from silicon to software, so they can deliver Smart, Secure Everything. Quality and reliability start with us.

What You'll Be Doing

As a Software Engineering Intern at Synopsys' Yerevan office, you will work alongside experienced engineers on EDA tool development. Responsibilities include:
- Developing and testing software components for EDA tools used in chip design workflows
- Writing clean, well-documented C++ and/or Python code
- Participating in code reviews and team discussions
- Debugging and resolving issues in existing codebases
- Collaborating with senior engineers to understand design requirements and implement solutions

What You'll Need

- Currently pursuing a B.S. or M.S. in Computer Science, Computer Engineering, Electrical Engineering, or a related technical field
- Strong programming skills in C++ and/or Python
- Understanding of data structures, algorithms, and software design principles
- Ability to work in a collaborative team environment
- Good communication skills in English
- Self-motivated with the ability to handle multiple tasks

Preferred Qualifications

- Experience with Linux/Unix development environment
- Familiarity with version control systems (Git)
- Coursework or experience in compilers, computer architecture, or VLSI design
- Knowledge of EDA tools and semiconductor design flows is a plus

About the Yerevan Office

Synopsys Armenia is a growing R&D center contributing to core EDA product development. Our team in Yerevan works on cutting-edge technology alongside global engineering teams. We offer a collaborative, innovation-focused environment with opportunities for professional growth.

Synopsys is an equal opportunity employer."
synopsys,https://careers.synopsys.com/job/yerevan/product-publications-intern/44408/93005734224,Product Publications Intern,Synopsys,"Yerevan, Armenia",Intern,Internship,Electronic Design Automation; Semiconductor,2026-03-19,2026-04-30,,"Product Publications Intern

Yerevan, Armenia | Internship | Job ID: 93005734224

Synopsys is at the forefront of Smart Everything with the world's most advanced tools for silicon chip design, verification, IP integration, and application security testing.

What You'll Be Doing

As a Product Publications Intern at Synopsys' Yerevan office, you will assist the technical documentation team in creating and maintaining high-quality product documentation for EDA software tools. Responsibilities include:
- Writing and editing technical documentation, user guides, and release notes
- Working with engineers and product managers to understand features and translate them into clear documentation
- Updating and maintaining existing documentation in our content management system
- Reviewing documentation for accuracy, clarity, and completeness
- Assisting with the development of tutorials, how-to guides, and online help content

What You'll Need

- Currently pursuing a B.S. or M.S. in Computer Science, Technical Communication, Electrical Engineering, or a related field
- Excellent written communication skills in English
- Attention to detail and ability to understand technical concepts
- Basic familiarity with software development concepts
- Proficiency with Microsoft Office tools and ability to learn new software quickly
- Strong organizational and time management skills

Preferred Qualifications

- Experience writing technical documentation or blog posts
- Familiarity with documentation tools such as MadCap Flare, Adobe FrameMaker, or similar
- Basic knowledge of HTML/XML
- Experience with EDA tools or semiconductor design concepts is a plus
- Familiarity with version control (Git)

About the Yerevan Office

Synopsys Armenia is a growing R&D center with a collaborative, innovation-focused environment and opportunities for professional growth.

Synopsys is an equal opportunity employer."
