source_url,degree_type,speciality,program_name,academic_year,component,chair_code,course_name_original,credits
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1106,Հայոց պատմություն 2,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1106,Հայոց պատմություն 1,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,0002,Քաղաքացիական պաշտպանություն և արտակարգ իրավիճակներում բնակչության առաջին բուժօգնություն,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,0002,Քաղաքացիական պաշտպանություն և արտակարգ իրավիճակներում բնակչության առաջին բուժօգնություն,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1608,Ֆրանսերեն-2,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1205,Չինարեն-2,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1401,Հայոց լեզու և խոսքի մշակույթ-1,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1604,Գերմաներեն-2,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1602,Անգլերեն-2,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1608,Ֆրանսերեն-1,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1205,Չինարեն-1,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1803,Թուրքերեն-1,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1604,Գերմաներեն-1,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1602,Անգլերեն-1,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1705,Ռուսաց լեզու-1,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1401,Հայոց լեզու և խոսքի մշակույթ-2,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1302,Բարոյագիտության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,0604,Բնագիտության ժամանակակից հայեցակարգեր,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1005,Գործարարության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1901,Իրավունքի հիմունքներ,2
